Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Requisitons per number of slots per link,1,<2-1>,11,-, ,0.0478993845330479,0.05826300027225701,0.05213019317279704,0.05020811654526535,0.05720512122037592,0.047733333333333336,0.05151843817787419,0.04555028962611901,0.052433449852110785,0.04979591836734694
Requisitons per number of slots per link,1,<2-1>,12,-, ,0.03559004549103559,0.0522733460386605,0.039163799947075945,0.03590010405827263,0.037047126123672024,0.0392,0.05504338394793926,0.04265402843601896,0.035224522721161604,0.03346938775510204
Requisitons per number of slots per link,1,<2-1>,13,-, ,0.028900187316028902,0.03512115436972502,0.034665255358560465,0.023933402705515087,0.02969218196676655,0.02666666666666667,0.03226681127982647,0.03291205897840969,0.026620059155687013,0.02639455782312925
Requisitons per number of slots per link,1,<2-1>,14,-, ,0.02221032914102221,0.03430438333787095,0.021169621593014026,0.023413111342351717,0.02451648052301825,0.021333333333333333,0.026301518438177875,0.029225908372827805,0.020973379940844313,0.022312925170068026
Requisitons per number of slots per link,1,<2-1>,15,-, ,0.023280706449023282,0.02314184590253199,0.028578989150568935,0.01899063475546306,0.017433941705257423,0.021066666666666668,0.03091106290672451,0.02843601895734597,0.014788921753159451,0.019591836734693877
Requisitons per number of slots per link,1,<2-1>,16,-, ,0.016323253947016322,0.022597331881295944,0.01878803916379995,0.015088449531737774,0.01607191500953419,0.015733333333333332,0.0227765726681128,0.020273828330700367,0.014788921753159451,0.013605442176870748
Requisitons per number of slots per link,1,<2-1>,17,-, ,0.016055659620016056,0.015518649605227334,0.01587721619476052,0.01716961498439126,0.012258240261509125,0.012,0.015997830802603037,0.013954713006845709,0.006722237160527024,0.010612244897959184
Requisitons per number of slots per link,1,<2-1>,18,-, ,0.014182499331014183,0.0127960794990471,0.024080444562053452,0.01404786680541103,0.007627349496050122,0.014933333333333333,0.02304772234273319,0.014218009478672985,0.007528905619790266,0.009523809523809525
Requisitons per number of slots per link,1,<2-1>,19,-, ,0.013112122023013113,0.007623196297304655,0.01587721619476052,0.010145681581685745,0.005720512122037592,0.013333333333333334,0.010574837310195227,0.008952080042127435,0.004302231782737295,0.0035374149659863946
Requisitons per number of slots per link,1,<2-1>,20,-, ,0.020872357506020872,0.016879934658317452,0.0214342418629267,0.013527575442247659,0.014982293652955598,0.018133333333333335,0.015997830802603037,0.01790416008425487,0.011024468943264318,0.010884353741496598
Requisitons per number of slots per link,1,<2-1>,21,-, ,0.012844527696012844,0.007078682276068609,0.008732468907118285,0.003121748178980229,0.002451648052301825,0.004,0.006507592190889371,0.005002632964718273,0.0010755579456843238,2.7210884353741496E-4
Requisitons per number of slots per link,1,<2-1>,22,-, ,0.007492641156007493,0.0029948271167982575,0.006086266207991532,0.002081165452653486,0.0019068373740125306,0.0026666666666666666,0.0070498915401301515,0.004476040021063717,0.0016133369185264857,5.442176870748299E-4
Requisitons per number of slots per link,1,<2-1>,23,-, ,0.008830612791008831,0.0021780560849441874,0.006880127017729558,0.0036420395421436005,0.003541269408880414,0.0026666666666666666,0.008134490238611713,0.0034228541337546076,0.0013444474321054048,0.0016326530612244899
